City/Town,Ward,Pct,"Celeste Marie Girrell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Burke,,,30,3,71,104
Lyndon,,,85,19,157,261
Sutton,,,18,2,18,38
TOTALS,,,133,24,246,403
