City/Town,Ward,Pct,"Leigh B. Larocque",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnet,,,42,3,4,49
Ryegate,,,14,2,1,17
Waterford,,,16,0,3,19
TOTALS,,,72,5,8,85
