City/Town,Ward,Pct,"Randy Brock",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",45,0,6,51
"Rutland Town",,,123,1,18,142
Ryegate,,,17,0,0,17
Salisbury,,,11,0,0,11
Sandgate,,,5,0,1,6
Searsburg,,,1,0,2,3
Shaftsbury,,,30,1,2,33
Sharon,,,24,0,3,27
Sheffield,,,12,0,0,12
Shelburne,-,"Chittenden 5-1",89,1,6,96
Shelburne,-,"Chittenden 5-2",66,0,4,70
Sheldon,,,43,0,3,46
Shoreham,,,15,0,0,15
Shrewsbury,,,23,0,5,28
"S. Burlington",-,"Chittenden 7-1",43,2,5,50
"S. Burlington",-,"Chittenden 7-2",73,3,7,83
"S. Burlington",-,"Chittenden 7-3",47,2,3,52
"S. Burlington",-,"Chittenden 7-4",72,1,6,79
"S. Hero",,,36,0,2,38
Springfield,-,"Windsor 3-1",2,0,0,2
Springfield,-,"Windsor 3-2",80,1,3,84
"St. Albans City",,,263,14,32,309
"St. Albans Town",-,"Franklin 3-1",105,3,15,123
"St. Albans Town",-,"Franklin 3-2",191,6,13,210
"St. George",,,6,0,2,8
"St. Johnsbury",,,77,2,4,83
Stamford,,,11,0,0,11
Stannard,,,2,0,0,2
Starksboro,,,31,0,1,32
Stockbridge,,,13,0,1,14
Stowe,,,37,0,1,38
Strafford,,,15,0,1,16
Stratton,,,4,0,0,4
Sudbury,,,16,0,3,19
Sunderland,-,"Bennington 3",0,0,0,0
Sunderland,-,"Bennington 4",6,0,1,7
Sutton,,,17,1,1,19
Swanton,,,231,3,7,241
Thetford,,,14,1,0,15
Tinmouth,-,"Rutland 2",2,0,0,2
Tinmouth,-,Rutland-Bennington,7,0,1,8
Topsham,,,28,0,0,28
Townshend,,,21,0,0,21
Troy,-,"Orleans 2",8,0,1,9
Troy,-,Orleans-Lamoille,8,1,1,10
Tunbridge,,,28,0,1,29
Underhill,,,45,0,1,46
Vergennes,,,22,1,5,28
Vernon,,,57,1,3,61
Vershire,,,9,0,1,10
Victory,,,8,0,2,10
Waitsfield,,,24,0,3,27
Walden,,,19,0,0,19
Wallingford,,,32,1,4,37
Waltham,,,0,0,2,2
Wardsboro,,,10,0,1,11
Warren,,,13,0,3,16
Washington,,,22,0,6,28
Waterbury,,,48,0,1,49
Waterford,,,18,0,1,19
Waterville,,,8,0,2,10
Weathersfield,,,41,0,2,43
Wells,,,12,0,1,13
"W. Fairlee",,,5,0,1,6
"W. Haven",,,6,0,1,7
"W. Rutland",,,29,1,2,32
"W. Windsor",,,17,1,3,21
Westfield,,,12,2,1,15
Westford,,,18,0,1,19
Westminster,-,"Windham 3",1,0,0,1
Westminster,-,"Windham 4",31,0,0,31
Westmore,,,5,1,3,9
Weston,,,16,0,2,18
Weybridge,,,7,0,4,11
Wheelock,,,13,0,2,15
Whiting,,,15,0,1,16
Whitingham,-,"Windham 6",18,0,1,19
Whitingham,-,Windham-Bennington,2,0,0,2
Williamstown,,,63,3,1,67
Williston,,,100,3,12,115
Wilmington,,,25,0,4,29
Windham,,,5,0,1,6
Windsor,,,37,1,4,42
Winhall,,,15,0,2,17
Winooski,,,38,2,4,44
Wolcott,,,17,1,3,21
Woodbury,,,22,1,4,27
Woodford,,,1,0,0,1
Woodstock,,,60,1,10,71
Worcester,,,7,0,3,10
TOTALS,,,"9,083",239,"1,168","10,490"
