City/Town,Ward,Pct,"Casey J. Toof","Stephen A. Trahan","Claude Bouchard",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"St. Albans City",,,205,143,126,19,125,618
"St. Albans Town",,,65,94,34,0,53,246
TOTALS,,,270,237,160,19,178,864
