City/Town,Ward,Pct,"Seth Hopkins","Charles Shaw",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brandon,,,83,49,1,51,184
Pittsford,,,23,55,1,33,112
Sudbury,,,14,11,0,13,38
TOTALS,,,120,115,2,97,334
