City/Town,Ward,Pct,"Jeff Wilson","Cynthia Browning",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,75,86,1,46,208
Manchester,,,120,100,2,80,302
Sandgate,,,21,22,0,7,50
Sunderland,,,22,19,0,15,56
TOTALS,,,238,227,3,148,616
