City/Town,Ward,Pct,"Bob Irish",Write-Ins,Blanks,"Total Votes Cast"
,,,
Franklin,,,6,0,6,12
Highgate,,,1,0,1,2
Richford,,,4,0,4,8
TOTALS,,,11,0,11,22
