City/Town,Ward,Pct,"Sarah Copeland Hanzas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bradford,,,89,2,14,105
Fairlee,,,46,4,9,59
"W. Fairlee",,,46,0,5,51
TOTALS,,,181,6,28,215
