City/Town,Ward,Pct,"Linda J. Martin","Mark E. Woodward",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Belvidere,,,7,7,0,4,18
"Hyde Park",,,106,75,8,91,280
Johnson,,,52,75,1,56,184
Wolcott,,,62,34,6,44,146
TOTALS,,,227,191,15,195,628
