City/Town,Ward,Pct,"Lucien G. Gravel","Colin Santee",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Belvidere,,,9,5,1,3,18
"Hyde Park",,,31,14,4,25,74
Johnson,,,15,10,28,17,70
Wolcott,,,12,5,9,18,44
TOTALS,,,67,34,42,63,206
