City/Town,Ward,Pct,"Patrick Dupont","Jason Lee",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,73,55,2,80,210
"Grand Isle",,,29,28,2,17,76
"Isle La Motte",,,4,3,0,11,18
Milton,,,22,20,0,14,56
"N. Hero",,,18,13,0,15,46
"S. Hero",,,23,25,0,26,74
TOTALS,,,169,144,4,163,480
