City/Town,Ward,Pct,"Kathleen C. Keenan","Jeff Young","Tony Martel","Marlys A. Lemnah",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
"St. Albans City",,,"1,668","1,164",998,614,6,0,"4,450"
TOTALS,,,"1,668","1,164",998,614,6,0,"4,450"
