City/Town,Ward,Pct,"Norman H. McAllister","Albert Pearce","Lucy B. Ramsay",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican/Democratic,Democratic
Berkshire,,,322,419,287,40,0,"1,068"
Franklin,,,382,294,242,9,0,927
Highgate,,,872,591,472,8,0,"1,943"
Richford,,,419,654,341,25,0,"1,439"
TOTALS,,,"1,995","1,958","1,342",82,0,"5,377"
