City/Town,Ward,Pct,"Megan Smith","Carolyn Schwalbe",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bridgewater,,,281,225,0,0,506
Chittenden,,,349,377,3,0,729
Killington,,,343,247,1,0,591
Mendon,,,350,306,1,0,657
TOTALS,,,"1,323","1,155",5,0,"2,483"
