City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Athens,,,114,101,4,0,219
Brookline,,,209,229,3,0,441
Grafton,,,311,275,6,0,592
Rockingham,,,"2,040","1,666",29,0,"3,735"
Westminster,,,87,70,2,0,159
Windham,,,174,200,3,0,377
TOTALS,,,"2,935","2,541",47,0,"5,523"
