City/Town,Ward,Pct,"Shap Smith","Peter Peltz",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Elmore,,,440,373,5,0,818
Morristown,,,"2,249","1,327",32,0,"3,608"
Woodbury,,,319,458,29,0,806
Worcester,,,435,437,8,0,880
TOTALS,,,"3,443","2,595",74,0,"6,112"
