City/Town,Ward,Pct,"Adam Greshin","Carol R. Hosford",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Democratic
Fayston,,,409,387,2,0,798
Waitsfield,,,566,586,1,0,"1,153"
Warren,,,575,441,1,0,"1,017"
TOTALS,,,"1,550","1,414",4,0,"2,968"
