City/Town,Ward,Pct,"Chip Conquest","Harvey B. Otterman, Jr","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Liberty Union"
Groton,,,243,230,6,0,0,479
Newbury,,,613,418,52,0,0,"1,083"
Topsham,,,178,353,14,0,0,545
TOTALS,,,"1,034","1,001",72,0,0,"2,107"
