City/Town,Ward,Pct,"Mitzi Johnson","Ira Trombley","Peggy Varney","Marguerite Burbo",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Alburgh,,,460,488,381,294,2,0,"1,625"
"Grand Isle",,,583,535,555,448,3,0,"2,124"
"Isle La Motte",,,144,170,133,109,3,0,559
Milton,,,273,307,318,252,6,0,"1,156"
"N. Hero",,,268,224,279,218,0,0,989
"S. Hero",,,698,554,480,280,3,0,"2,015"
TOTALS,,,"2,426","2,278","2,146","1,601",17,0,"8,468"
