City/Town,Ward,Pct,"Willem Jewett","John Ike Hughes",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cornwall,,,547,171,1,0,719
Goshen,,,92,32,1,0,125
Hancock,,,145,44,2,0,191
Leicester,,,302,231,1,0,534
Ripton,,,312,36,0,0,348
Salisbury,,,382,167,1,0,550
TOTALS,,,"1,780",681,6,0,"2,467"
