City/Town,Ward,Pct,"William F. Johnson","Bernie Henault",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Brighton,,,328,261,4,0,593
Canaan,,,361,108,1,0,470
"E. Haven",,,70,73,1,0,144
Lemington,,,52,8,0,0,60
Newark,,,145,103,2,0,250
Norton,,,76,24,0,0,100
Westmore,,,106,99,3,0,208
TOTALS,,,"1,138",676,11,0,"1,825"
