City/Town,Ward,Pct,"Maxine Grad","Anne B. Donahue","Anthony J. Vach",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Republican
Moretown,,,786,558,204,8,0,"1,556"
Northfield,,,"1,469","1,607",645,12,0,"3,733"
Roxbury,,,250,194,78,9,0,531
TOTALS,,,"2,505","2,359",927,29,0,"5,820"
