City/Town,Ward,Pct,"Leigh B. Larocque",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Barnet,,,747,40,0,787
Ryegate,,,459,31,0,490
Waterford,,,595,12,0,607
TOTALS,,,"1,801",83,0,"1,884"
