City/Town,Ward,Pct,"Andy Donaghy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Ira,,,33,1,0,34
Poultney,,,"1,230",48,0,"1,278"
TOTALS,,,"1,263",49,0,"1,312"
