City/Town,Ward,Pct,"Scott A. Orr","Edward Stone",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Independent
Charlotte,,,"1,314",969,4,0,"2,287"
Hinesburg,,,64,31,0,0,95
TOTALS,,,"1,378","1,000",4,0,"2,382"
