City/Town,Ward,Pct,"Michel Consejo","Brian K. Savage","Gregory Gervais","Ronald A. Case, Sr",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Democratic,Republican
Sheldon,,,585,247,384,184,3,0,"1,403"
Swanton,,,"1,185","1,332",998,"1,019",7,0,"4,541"
TOTALS,,,"1,770","1,579","1,382","1,203",10,0,"5,944"
