City/Town,Ward,Pct,"Michael J. Marcotte","Duncan Kilmartin","Susan A. Davis",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican/Democratic,Republican,Independent
Coventry,,,384,250,145,9,0,788
Irasburg,,,410,320,150,9,0,889
"Newport City",,,"1,235",907,557,15,0,"2,714"
"Newport Town",,,530,409,198,12,0,"1,149"
TOTALS,,,"2,559","1,886","1,050",45,0,"5,540"
