City/Town,Ward,Pct,"Richard J. Marek",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Marlboro,,,493,6,0,499
Newfane,,,865,32,0,897
Townshend,,,566,8,0,574
TOTALS,,,"1,924",46,0,"1,970"
