City/Town,Ward,Pct,"Linda J. Martin","Lucien G. Gravel",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Hyde Park",,,829,666,2,0,"1,497"
Wolcott,,,489,308,1,0,798
TOTALS,,,"1,318",974,3,0,"2,295"
