City/Town,Ward,Pct,"David M. Ainsworth","Louise S. Barreda",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Royalton,,,745,629,4,0,"1,378"
Tunbridge,,,349,421,2,0,772
TOTALS,,,"1,094","1,050",6,0,"2,150"
