City/Town,Ward,Pct,"Scott Wheeler","Robert W. Lewis","Melissa Pettersson","Frank Davis","Winston Dowland",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic,Progressive
Brownington,,,203,181,94,97,71,0,0,646
Charleston,,,251,206,143,114,78,1,0,793
Derby,,,"1,152","1,076",707,735,293,2,0,"3,965"
Holland,,,126,150,79,85,74,0,0,514
Morgan,,,200,213,98,84,51,1,0,647
TOTALS,,,"1,932","1,826","1,121","1,115",567,4,0,"6,565"
