City/Town,Ward,Pct,"Peg Flory","Ellen Garneau",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Progressive
Pittsford,,,"1,050",460,4,0,"1,514"
Sudbury,,,168,157,0,0,325
TOTALS,,,"1,218",617,4,0,"1,839"
