City/Town,Ward,Pct,"Pat McDonald","Jonathan Goddard",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Barre City",,,176,120,0,0,296
Berlin,,,871,462,0,0,"1,333"
TOTALS,,,"1,047",582,0,0,"1,629"
