City/Town,Ward,Pct,"Sandy Haas","Henry L. Holmes",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive/Democratic,Independent
Bethel,,,443,560,1,0,"1,004"
Pittsfield,,,150,127,0,0,277
Rochester,,,529,184,1,0,714
Stockbridge,,,227,170,1,0,398
TOTALS,,,"1,349","1,041",3,0,"2,393"
