City/Town,Ward,Pct,"Timothy R. Corcoran, II","Joseph L. Krawczyk, Jr",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bennington,-,"Benn Fire Dept","2,743","1,802",34,0,"4,579"
Bennington,-,"N Benn Fire Dept",0,0,0,0,0
TOTALS,,,"2,743","1,802",34,0,"4,579"
