City/Town,Ward,Pct,"John W. Malcolm","Ashley D. Waite",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Middletown Springs",,,261,221,0,0,482
Pawlet,,,452,303,1,0,756
Rupert,,,192,151,0,0,343
Wells,,,239,325,0,0,564
TOTALS,,,"1,144","1,000",1,0,"2,145"
