City/Town,Ward,Pct,"Brian E. Dubie","Thomas W. Costello","Richard Kemp","Ben Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Progressive,"Liberty Union"
Weathersfield,,,874,540,77,29,0,0,"1,520"
Wells,,,339,186,20,3,0,0,548
"W. Fairlee",,,151,127,26,3,0,0,307
"W. Haven",,,90,41,2,2,0,0,135
"W. Rutland",,,635,410,23,15,0,0,"1,083"
"W. Windsor",,,372,272,23,4,0,0,671
Westfield,,,180,98,15,1,0,0,294
Westford,,,694,386,49,3,0,0,"1,132"
Westminster,-,"Windham 4",30,56,0,10,0,0,96
Westminster,-,"Windham 5",415,929,50,160,0,0,"1,554"
Westmore,,,136,72,7,0,0,0,215
Weston,,,202,175,14,8,1,0,400
Weybridge,,,268,262,19,1,0,0,550
Wheelock,,,246,98,16,5,0,0,365
Whiting,,,127,79,6,3,0,0,215
Whitingham,,,286,317,23,14,0,0,640
Williamstown,,,"1,116",361,44,14,1,0,"1,536"
Williston,,,"3,246","1,631",182,15,0,0,"5,074"
Wilmington,,,448,592,47,11,0,0,"1,098"
Windham,,,83,130,9,6,0,0,228
Windsor,,,786,760,57,35,2,0,"1,640"
Winhall,,,269,208,14,9,0,0,500
Winooski,,,"1,344","1,144",217,15,2,0,"2,722"
Wolcott,,,466,272,25,8,0,0,771
Woodbury,,,280,194,43,10,0,0,527
Woodford,,,67,110,7,6,0,0,190
Woodstock,,,968,850,69,20,0,0,"1,907"
Worcester,,,241,262,56,9,0,0,568
TOTALS,,,"171,744","121,953","14,249","3,639",207,0,"311,792"
