City/Town,Ward,Pct,"Sarah Copeland Hanzas","Peg Coutermarsh",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bradford,,,935,350,7,0,"1,292"
Fairlee,,,378,166,0,0,544
"W. Fairlee",,,191,126,0,0,317
TOTALS,,,"1,504",642,7,0,"2,153"
