City/Town,Ward,Pct,"Martha Heath","Jamie Parent",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Essex,,,949,401,4,0,"1,354"
Westford,,,749,387,3,0,"1,139"
TOTALS,,,"1,698",788,7,0,"2,493"
