City/Town,Ward,Pct,"Eldred French","Stan Wilbur",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Shrewsbury,,,433,231,0,0,664
Tinmouth,,,131,197,2,0,330
Wallingford,,,631,601,2,0,"1,234"
TOTALS,,,"1,195","1,029",4,0,"2,228"
