City/Town,Ward,Pct,"Ann Manwaring",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Halifax,,,327,6,0,333
Whitingham,,,559,13,0,572
Wilmington,,,992,18,0,"1,010"
TOTALS,,,"1,878",37,0,"1,915"
