City/Town,Ward,Pct,"Lucy Leriche",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Hardwick,,,"1,303",37,0,"1,340"
Stannard,,,100,4,0,104
Walden,,,431,27,0,458
TOTALS,,,"1,834",68,0,"1,902"
