City/Town,Ward,Pct,"Dennis J. Devereux","Jay A. Jurkoic",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Ludlow,,,655,542,4,0,"1,201"
"Mount Holly",,,484,242,1,0,727
Plymouth,,,183,164,0,0,347
TOTALS,,,"1,322",948,5,0,"2,275"
