City/Town,Ward,Pct,"Dave Potter","Joseph Baker","Barbara T. Carris","Mark Fitzgerald",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Democratic,Republican
Clarendon,,,717,606,450,518,3,0,"2,294"
Ira,,,106,76,81,111,0,0,374
Proctor,,,505,381,428,223,0,0,"1,537"
"W. Rutland",,,419,617,514,353,0,0,"1,903"
TOTALS,,,"1,747","1,680","1,473","1,205",3,0,"6,108"
