City/Town,Ward,Pct,"Peter E. Perley","Cindy Weed","Dennis A. Williams",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Progressive,Democratic
Bakersfield,,,253,230,146,2,0,631
Enosburgh,,,536,371,326,3,0,"1,236"
TOTALS,,,789,601,472,5,0,"1,867"
