City/Town,Ward,Pct,"Mark B. Mitchell","Gayle C. Ottmann",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Barnard,,,313,211,1,0,525
Hartford,,,598,537,5,0,"1,140"
Pomfret,,,386,205,0,0,591
TOTALS,,,"1,297",953,6,0,"2,256"
