City/Town,Ward,Pct,"Alison H. Clarkson","Geoffrey Peterson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Reading,,,303,90,4,0,397
Woodstock,,,"1,596",341,12,0,"1,949"
TOTALS,,,"1,899",431,16,0,"2,346"
