City/Town,Ward,Pct,"Richard J. Howrigan","Eileen Dickinson","Greg Christie","George Allard","Tracie Rivard Higgins",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Democratic,Independent,Republican
Fairfield,,,619,332,445,206,71,0,0,"1,673"
Fletcher,,,339,166,271,115,183,1,0,"1,075"
"St. Albans Town",,,"1,060","1,486","1,040","1,010",351,7,0,"4,954"
TOTALS,,,"2,018","1,984","1,756","1,331",605,8,0,"7,702"
