City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe","John Heffernan","Barbara Rainville",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Bristol,,,961,984,968,715,0,0,"3,628"
Lincoln,,,521,467,260,274,0,0,"1,522"
Monkton,,,622,570,370,361,1,0,"1,924"
Starksboro,,,493,476,316,272,1,0,"1,558"
TOTALS,,,"2,597","2,497","1,914","1,622",2,0,"8,632"
