City/Town,Ward,Pct,"Jim Masland","Margaret Cheney",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Norwich,,,"1,635","1,890",19,0,"3,544"
Sharon,,,489,508,21,0,"1,018"
Strafford,,,532,524,1,0,"1,057"
Thetford,,,"1,291",910,16,0,"2,217"
TOTALS,,,"3,947","3,832",57,0,"7,836"
