City/Town,Ward,Pct,"Sue Minter","Tom Stevens",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Duxbury,,,595,463,6,0,"1,064"
Huntington,,,807,495,8,0,"1,310"
Waterbury,,,"2,279","1,847",22,0,"4,148"
TOTALS,,,"3,681","2,805",36,0,"6,522"
