City/Town,Ward,Pct,"Steven C. Adams","John Bartholomew",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Hartland,,,991,897,2,0,"1,890"
"W. Windsor",,,330,350,0,0,680
TOTALS,,,"1,321","1,247",2,0,"2,570"
