City/Town,Ward,Pct,"Ernest W. Shand","Edward J. Williams",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cavendish,,,428,258,1,0,687
Weathersfield,,,939,582,1,0,"1,522"
TOTALS,,,"1,367",840,2,0,"2,209"
