City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Castleton,,,"1,426","1,440",48,0,"2,914"
"Fair Haven",,,"1,165",936,18,0,"2,119"
Hubbardton,,,258,252,4,0,514
"W. Haven",,,120,112,1,0,233
TOTALS,,,"2,969","2,740",71,0,"5,780"
