City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Colchester,-,"Chittenden 7-1","3,286",43,0,"3,329"
Colchester,-,"Chittenden 7-2","3,786",37,0,"3,823"
"Grand Isle",,,"1,078",15,0,"1,093"
"Isle La Motte",,,276,9,0,285
"N. Hero",,,486,6,0,492
"S. Hero",,,"1,042",11,0,"1,053"
TOTALS,,,"9,954",121,0,"10,075"
