City/Town,Ward,Pct,"John Moran","Philip E. Bartlett",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Dover,,,334,428,2,0,764
Readsboro,,,237,169,0,0,406
Searsburg,,,31,30,0,0,61
Stamford,,,289,184,0,0,473
Wardsboro,,,249,166,0,0,415
TOTALS,,,"1,140",977,2,0,"2,119"
