City/Town,Ward,Pct,"Mark Higley","Dexter Randall","Patricia M. Sears",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Progressive,Democratic
Jay,,,68,70,49,0,0,187
Lowell,,,229,79,71,1,0,380
Montgomery,,,191,191,213,0,0,595
Troy,,,242,303,121,0,0,666
Westfield,,,118,111,71,0,0,300
TOTALS,,,848,754,525,1,0,"2,128"
