City/Town,Ward,Pct,"Patsy French","Larry Townsend","Jocelyn Stohl","Stewart Skrill",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Braintree,,,350,312,304,154,2,0,"1,122"
Brookfield,,,391,384,257,212,3,0,"1,247"
Granville,,,107,86,44,35,1,0,273
Randolph,,,"1,461","1,320",769,565,7,0,"4,122"
TOTALS,,,"2,309","2,102","1,374",966,13,0,"6,764"
