City/Town,Ward,Pct,"Susan Bartlett","Jim Black",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Belvidere,,,75,77,1,0,153
Cambridge,,,"1,286",540,3,0,"1,829"
Elmore,,,356,147,1,0,504
"Hyde Park",,,988,529,3,0,"1,520"
Johnson,,,940,420,3,0,"1,363"
Morristown,,,"1,744",870,8,0,"2,622"
Stowe,,,"1,257","1,401",4,0,"2,662"
Waterville,,,226,127,0,0,353
TOTALS,,,"6,872","4,111",23,0,"11,006"
