City/Town,Ward,Pct,"David L. Deen","Mike Mrowicki","Steve Darrow",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican
Dummerston,,,751,683,430,6,0,"1,870"
Putney,,,857,994,454,2,0,"2,307"
Westminster,,,"1,121",868,546,9,0,"2,544"
TOTALS,,,"2,729","2,545","1,430",17,0,"6,721"
