City/Town,Ward,Pct,"Gregory Clark","Diane Lanpher","Kitty Oxholm","Jean Richardson",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican,Democratic
Addison,,,470,285,434,212,1,0,"1,402"
Ferrisburgh,,,788,702,622,678,0,0,"2,790"
Panton,,,219,166,184,117,0,0,686
Vergennes,,,610,625,503,439,1,0,"2,178"
Waltham,,,133,150,115,112,0,0,510
TOTALS,,,"2,220","1,928","1,858","1,558",2,0,"7,566"
