City/Town,Ward,Pct,"Richard Lawrence","Howard Crawford","Steve Smith","Jonathan W. Pelosi",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Burke,,,427,489,263,201,2,0,"1,382"
Lyndon,,,"1,438","1,229",746,492,5,0,"3,910"
Sutton,,,287,286,134,83,0,0,790
TOTALS,,,"2,152","2,004","1,143",776,7,0,"6,082"
