City/Town,Ward,Pct,"Tony Klein",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
"E. Montpelier",,,"1,419",37,0,"1,456"
Middlesex,,,909,18,0,927
TOTALS,,,"2,328",55,0,"2,383"
