City/Town,Ward,Pct,"Peter Welch","Mike Bethel","Jerry Trudell","Thomas James Hermann","Cris Ericson","Jane Newton",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Independent,"Energy Independence",Progressive,Independent,"Liberty Union"
Victory,,,32,0,6,1,1,4,0,0,44
Waitsfield,,,921,29,53,46,25,12,7,0,"1,093"
Walden,,,398,15,18,23,13,9,3,0,479
Wallingford,,,982,70,44,17,36,27,5,0,"1,181"
Waltham,,,222,10,8,6,4,3,10,0,263
Wardsboro,,,288,26,9,15,7,28,1,0,374
Warren,,,776,34,61,35,22,17,11,0,956
Washington,,,456,10,22,16,7,11,4,0,526
Waterbury,,,"2,322",88,85,71,52,30,17,0,"2,665"
Waterford,,,535,33,29,19,19,13,5,0,653
Waterville,,,290,6,13,5,4,5,1,0,324
Weathersfield,,,"1,221",38,53,26,95,23,11,0,"1,467"
Wells,,,412,50,19,15,15,18,2,0,531
"W. Fairlee",,,243,13,13,14,13,7,0,0,303
"W. Haven",,,115,8,2,0,1,2,0,0,128
"W. Rutland",,,863,51,36,17,30,16,17,0,"1,030"
"W. Windsor",,,584,12,15,9,22,6,3,0,651
Westfield,,,231,15,17,9,8,2,0,0,282
Westford,,,910,30,38,29,28,11,19,0,"1,065"
Westminster,-,"Windham 4",76,2,7,3,3,3,0,0,94
Westminster,-,"Windham 5","1,201",53,49,57,92,55,1,0,"1,508"
Westmore,,,170,3,11,3,7,4,0,0,198
Weston,,,313,14,7,7,17,34,5,0,397
Weybridge,,,462,14,10,12,17,2,9,0,526
Wheelock,,,281,15,17,8,10,4,1,0,336
Whiting,,,178,9,4,4,5,1,0,0,201
Whitingham,,,409,119,27,20,17,19,7,0,618
Williamstown,,,"1,246",43,37,83,28,24,14,0,"1,475"
Williston,,,"4,151",179,129,99,83,51,22,0,"4,714"
Wilmington,,,699,164,54,30,35,28,15,0,"1,025"
Windham,,,144,3,5,3,30,45,1,0,231
Windsor,,,"1,412",49,49,29,43,34,8,0,"1,624"
Winhall,,,373,38,23,5,12,31,3,0,485
Winooski,,,"2,146",101,98,108,64,43,12,0,"2,572"
Wolcott,,,633,17,26,25,14,11,5,0,731
Woodbury,,,408,7,16,40,12,11,9,0,503
Woodford,,,114,49,10,4,3,5,2,0,187
Woodstock,,,"1,647",74,51,28,41,21,4,0,"1,866"
Worcester,,,450,17,33,30,10,6,2,0,548
TOTALS,,,"248,203","14,349","10,818","9,081","7,841","5,307","2,552",0,"298,151"
